SYMBOL,CURRENT 13/03/2020,FORECAST 20/03/2020,LINK TO DATA,,CHANGE,LINK TO DATA
BABA,185.1,180,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&outputsize=full&symbol=,&apikey=M5YSEBUXCU9KEH0X&datatype=csv,-2.76%,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&outputsize=full&symbol=BABA&apikey=M5YSEBUXCU9KEH0X&datatype=csv
GOOGL,1111.55,1097.958862,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&outputsize=full&symbol=,&apikey=M5YSEBUXCU9KEH0X&datatype=csv,-1.22%,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&outputsize=full&symbol=GOOGL&apikey=M5YSEBUXCU9KEH0X&datatype=csv
AMZN,1676.61,1785.589111,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&outputsize=full&symbol=,&apikey=M5YSEBUXCU9KEH0X&datatype=csv,6.50%,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&outputsize=full&symbol=AMZN&apikey=M5YSEBUXCU9KEH0X&datatype=csv
AAPL,248.23,270.130737,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&outputsize=full&symbol=,&apikey=M5YSEBUXCU9KEH0X&datatype=csv,8.82%,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&outputsize=full&symbol=AAPL&apikey=M5YSEBUXCU9KEH0X&datatype=csv
BIDU,99,99.916817,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&outputsize=full&symbol=,&apikey=M5YSEBUXCU9KEH0X&datatype=csv,0.93%,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&outputsize=full&symbol=BIDU&apikey=M5YSEBUXCU9KEH0X&datatype=csv
CSCO,33.2,134.288712,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&outputsize=full&symbol=,&apikey=M5YSEBUXCU9KEH0X&datatype=csv,304.48%,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&outputsize=full&symbol=CSCO&apikey=M5YSEBUXCU9KEH0X&datatype=csv
FB,154.47,162.473694,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&outputsize=full&symbol=,&apikey=M5YSEBUXCU9KEH0X&datatype=csv,5.18%,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&outputsize=full&symbol=FB&apikey=M5YSEBUXCU9KEH0X&datatype=csv
IBM,102.81,107.052925,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&outputsize=full&symbol=,&apikey=M5YSEBUXCU9KEH0X&datatype=csv,4.13%,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&outputsize=full&symbol=IBM&apikey=M5YSEBUXCU9KEH0X&datatype=csv
INTC,45.54,47.032745,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&outputsize=full&symbol=,&apikey=M5YSEBUXCU9KEH0X&datatype=csv,3.28%,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&outputsize=full&symbol=INTC&apikey=M5YSEBUXCU9KEH0X&datatype=csv
MSFT,139.06,125.191299,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&outputsize=full&symbol=,&apikey=M5YSEBUXCU9KEH0X&datatype=csv,-9.97%,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&outputsize=full&symbol=MSFT&apikey=M5YSEBUXCU9KEH0X&datatype=csv
NFLX,315.25,322.573212,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&outputsize=full&symbol=,&apikey=M5YSEBUXCU9KEH0X&datatype=csv,2.32%,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&outputsize=full&symbol=NFLX&apikey=M5YSEBUXCU9KEH0X&datatype=csv
ORCL,39.8,39.226536,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&outputsize=full&symbol=,&apikey=M5YSEBUXCU9KEH0X&datatype=csv,-1.44%,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY&outputsize=full&symbol=ORCL&apikey=M5YSEBUXCU9KEH0X&datatype=csv
